date,event,category,significance,source_id,notes
2023-02-08,EU Chips Act formally proposed,Legislation,high,EU-COM-2023-0080,"43 billion euro package to double EU semiconductor market share to 20% by 2030"
2023-05-11,Japan CHIPS Act funding approved (revised semiconductor strategy),Legislation,high,Japan-METI-2023,"2 trillion yen ($13.4 billion) subsidy package for domestic semiconductor production"
2023-06-01,TSMC Kumamoto (JASM) fab construction progresses on schedule,Fab construction,medium,JASM-press-2023,"Expected production start in Q1 2024; fastest fab construction in TSMC history"
2023-08-08,TSMC announces Dresden Germany fab (ESMC),Fab construction,high,TSMC-press-2023,"Joint venture with Bosch NXP and Infineon; 28/22nm and 16/12nm; 10 billion euro investment"
2023-11-01,SMIC achieves 7nm production for Huawei Kirin 9000S,Industry event,high,TechInsights-2023,"Huawei Mate 60 Pro contained SMIC N+2 7nm chip; raised concerns about export control effectiveness"
2024-02-24,TSMC Kumamoto (JASM) fab opening ceremony,Fab construction,high,JASM-press-2024,"First TSMC fab in Japan operational; production of 22/28nm chips for automotive and industrial"
2024-04-08,TSMC receives $6.6 billion US CHIPS Act award for Arizona fabs,Legislation,high,US-Commerce-2024,"Plus $5 billion in loans; for three Arizona fabs producing 4nm 3nm and 2nm chips"
2024-04-15,Samsung receives $6.4 billion US CHIPS Act award for Taylor Texas fab,Legislation,high,US-Commerce-2024,"For advanced logic fab in Taylor TX plus expansion in Austin; 2nm and below target"
2024-06-01,Intel receives $8.5 billion US CHIPS Act award,Legislation,high,US-Commerce-2024,"Largest CHIPS Act award; for fabs in Arizona Ohio New Mexico and Oregon"
2024-08-01,TSMC begins N3E enhanced 3nm mass production,Process node,high,TSMC-tech-2024,"Improved yield and performance variant of 3nm; broad customer adoption"
2024-09-01,TSMC Arizona Fab 21 Phase 1 begins pilot production,Fab construction,high,TSMC-press-2024,"First advanced-node semiconductor production in US; 4nm process technology"
2024-11-01,ASML ships first High-NA EUV system (TWINSCAN EXE:5000),EUV lithography,high,ASML-press-2024,"0.55 NA EUV system for 2nm and below; shipped to Intel; $380 million per unit"
2025-01-01,TSMC N2 (2nm) nanosheet process enters risk production,Process node,high,TSMC-tech-roadmap-2024,"Gate-all-around nanosheet transistor architecture; 10-15% speed improvement over N3E"
2025-02-01,TSMC Kumamoto second fab (JASM Phase 2) construction underway,Fab construction,medium,JASM-press-2025,"6/12nm process technology planned; total investment over $20 billion with Japanese government subsidies"
2025-04-01,TSMC Dresden (ESMC) fab construction begins,Fab construction,medium,ESMC-press-2025,"European semiconductor sovereignty initiative; expected production in 2027"
